sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:LongName,matchScore,mappingStatus,conceptId,comment
LCH11,Pharmacologic abortion,3179,,Raskauden keskeytys l��kkeell�,0.7915241122245789,APPROVED,4115153,
NDK68,Shortening or lenghtening of a bone of hand,0,,K�den luun lyhennys tai pidennys,0.5406482219696045,UNCHECKED,4236351,
BC_2,Adrenal gland other procedures,0,,Lis�munuaisten muut toimenpiteet,0.7001181840896606,UNCHECKED,4043166,
EBU00,Removal of fixation device from teeth,14,,Hampaisiin kiinnitetyn kiinnityslaitteen poisto,0.7898557782173157,UNCHECKED,44804868,
GD002,"Radical radiotherapy of trachea, bronchi and lungs",0,,"Radikaali henkitorven, keuhkoputkien ja keuhkojen primaarikasvaimen s�dehoito",0.5926616787910461,UNCHECKED,4218410,
BC1LT,NA,0,,Lis�munuaisen koagulaatio radiologisessa ohjauksessa,0.40957364439964294,UNCHECKED,4163958,
JN6BQ,Infflammation foci extensive SPET with low dose CT,0,,Tulehduspes�kkeen laaja SPET ja matala-annos-TT,0.3896793723106384,UNCHECKED,4218973,
PHG78,Intraluminal laser vein occlusion of perforanting veins of thigh,0,,"Laskimon suonensis�inen laserhoito, v. perforans",0.554865300655365,UNCHECKED,313761,
NJ3CG,Extensive MRI examination of extremities with median high magnet,466,,Raajojen laaja magneettitutkimus,0.4614734649658203,UNCHECKED,4065020,
EBW,Other procedures on teeth,0,,Muut hammastoimenpiteet,0.534539520740509,UNCHECKED,4040577,
LCH13,Vacuum aspiration from uterus after medically induced abortion,1045,,Kohdun tyhjennys imulla tai kaavinnalla l��kkeellisen keskeytyksen j�lkeen,0.5330143570899963,APPROVED,4214018,
NDK99,Other operation on bone of hand or wrist,119,,Muu k�si- tai ranneluun luuleikkaus,0.5398958325386047,UNCHECKED,4180247,
LCH15,NA,0,,Kohdun tyhjennys imulla tai kaavinnalla ep�t�ydellisen kirurgisen keskeytyksen j�lkeen,0.40957364439964294,UNCHECKED,4163958,
JN6PN,Leucocyte distribution isotope imaging,44,,Tulehduspes�kkeen gammakuvaus soluleimauksella (koko keho),0.560119092464447,UNCHECKED,4198678,
GD003,"Adjuvant radiotherapy of trachea, bronchi and lungs",0,,"S�dehoito henkitorven, keuhkoputkien ja keuhkojen primaarikasvaimen liit�nn�ishoitona",0.5251489281654358,UNCHECKED,4218410,
JN6SN,NA,0,,Tulehduspes�kkeen SPET,0.40957364439964294,UNCHECKED,4163958,
BC2AT,Biopsy of adrenal gland with ultrasound guidance,0,,Lis�munuaisen kudosn�ytteen otto U�-ohjauksessa,0.6959195733070374,UNCHECKED,37109982,
EBW99,Other operation on tooth,29,,Muu hammasleikkaus,0.6932046413421631,UNCHECKED,4120794,
NK6PN,Bone marrow isotope imaging,0,,Luuytimen gammakuvaus,0.847588837146759,UNCHECKED,4155291,
PHG79,Intraluminal laser vein occlusion of anterior saphenous vein,0,,"Laskimon suonensis�inen laserhoito, v. saphena anterior",0.5635572671890259,UNCHECKED,4097371,
NJ3CM,Extensive MRI examination of extremities with 3 Tesla magnet,94,,Raajojen laaja 3 Teslan MT,0.44124969840049744,UNCHECKED,4065020,
NDL,Operations on muscles and tendons of wrist and hand,0,,K�den j�nne- ja lihasleikkaukset,0.6209011077880859,UNCHECKED,4344506,
