concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,freq_finngen,freq_tays,freq_total
1,NOMESCO Finnish modification,Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,0,0,0
2,NOMESCOfi Level 0,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,0,0,0
3,NOMESCOfi Level 1,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,0,0,0
4,NOMESCOfi Level 2,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,0,0,0
5,NOMESCOfi Level 3,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,0,0,0
6,NOMESCOfi Level 4,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,0,0,0
7,Nervous system,Procedure,NOMESCOfi,NOMESCOfi Level 0,NA,A,1900-01-01,2030-12-31,NA,Hermosto,0,0,0
8,Skull and intracranial structures,Procedure,NOMESCOfi,NOMESCOfi Level 1,NA,AA,1900-01-01,2030-12-31,NA,Kallo ja kallon sisäiset elimet,0,0,0
9,Diagnostic radiology of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 2,NA,AA_,1900-01-01,2030-12-31,NA,Pään diagnostinen radiologia,0,0,0
10,Head X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AA,1999-01-01,2030-12-31,NA,Kallon röntgen,0,0,0
11,CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AD,1999-01-01,2030-12-31,NA,Pään tietokonetomografiatutkimus,0,0,0
12,Short MRI examination of brain with low intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AF,1999-01-01,2016-12-31,NA,Pään suppea magneettitutkimus keskikenttälaitteella,0,0,0
13,Short MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AG,1999-01-01,2030-12-31,NA,Pään suppea magneettitutkimus,0,0,0
14,Short MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AM,2009-01-01,2016-12-31,NA,Pään suppea 3 Teslan MT,0,0,0
15,Extenxive X-ray examination of head,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BA,1999-01-01,2030-12-31,NA,Kallon laaja röntgen,0,0,0
16,Extensive CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BD,1999-01-01,2030-12-31,NA,Pään laaja tietokonetomografiatutkimus,0,0,0
17,Standard MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BF,1999-01-01,2016-12-31,NA,Pään magneettitutkimus keskikenttälaitteella,0,0,0
18,Standard MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BG,1999-01-01,2030-12-31,NA,Pään magneettitutkimus,0,0,0
19,MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BM,2009-01-01,2016-12-31,NA,Pään 3 Teslan MT,0,0,0
20,Very extensive CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CD,1999-01-01,2030-12-31,NA,Pään erittäin laaja tietokonetomografiatutkimus,0,0,0
21,Extensive MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CF,1999-01-01,2016-12-31,NA,Pään laaja magneettitutkimus keskikenttälaitteella,0,0,0
22,Extensive MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CG,1999-01-01,2030-12-31,NA,Pään laaja magneettitutkimus,0,0,0
23,Extensive MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CM,2009-01-01,2016-12-31,NA,Pään laaja 3 Teslan MT,0,0,0
24,Head and neck CT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DD,2009-01-01,2030-12-31,NA,Pään ja kaularangan tietokonetomografiatutkimus,0,0,0
25,Very extensive MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DF,1999-01-01,2016-12-31,NA,Pään erittäin laaja magneettitutkimus keskikenttälaitteella,0,0,0
26,Very extensive MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DG,1999-01-01,2030-12-31,NA,Pään erittäin laaja magneettitutkimus,0,0,0
27,Very extensive MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DM,2009-01-01,2016-12-31,NA,Pään erittäin laaja 3 Teslan MT,0,0,0
28,Trauma CT of head and neck,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1ED,2010-01-01,2030-12-31,NA,Pään ja kaulan trauma-tietokonetomografiatutkimus,0,0,0
29,Trauma CT of head and face,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1FD,2018-12-01,2030-12-31,NA,Pään ja kasvojen trauma-tietokonetomografiatutkimus,0,0,0
30,Fluoroscopy of head,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1LA,2006-01-01,2010-12-31,NA,Pään alueen läpivalaisututkimus,0,0,0
31,Other special CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1XD,1999-01-01,2003-11-04,NA,Pään muu TT,0,0,0
32,Cranial basis X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA2AA,1999-01-01,2010-12-31,NA,Kallonpohjan natiiviröntgen *,0,0,0
33,Facial bones X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3AA,1999-01-01,2030-12-31,NA,Kasvonluiden röntgen,0,0,0
34,CT of face,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3AD,2011-01-01,2030-12-31,NA,Kasvojen tietokonetomografiatutkimus,0,0,0
35,Cone beam CT of facial bones,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3AI,2014-01-01,2030-12-31,NA,Kasvon luiden kartiokeilatutkimus,0,0,0
36,Extensive CT of face,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3BD,2011-01-01,2030-12-31,NA,Kasvojen laaja tietokonetomografiatutkimus,0,0,0
37,Very extensive CT of face,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3CD,2011-01-01,2030-12-31,NA,Kasvojen erittäin laaja tietokonetomografiatutkimus,0,0,0
38,Sella turcica X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4AA,1999-01-01,2013-12-31,NA,Sellan natiiviröntgen *,0,0,0
39,CT of sella turcica,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4AD,1999-01-01,2030-12-31,NA,Sellan tietokonetomografiatutkimus,0,0,0
40,Cone beam CT of sella turcica,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4AI,2017-01-01,2030-12-31,NA,Sellan kartiokeilatutkimus,0,0,0
41,Extensive CT of sella turcica,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4BD,1999-01-01,2030-12-31,NA,Sellan laaja tietokonetomografiatutkimus,0,0,0
42,MRI examination of sella turcica with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4BF,1999-01-01,2016-12-31,NA,Sellan magneettitutkimus keskikenttälaitteella,0,0,0
43,MRI examination of sella turcica with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4BG,1999-01-01,2030-12-31,NA,Sellan magneettitutkimus,0,0,0
44,MRI examination of sella turcica with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4BM,2009-01-01,2016-12-31,NA,Sellan 3 Teslan MT,0,0,0
45,Very extensive CT of sella turcica,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4CD,1999-01-01,2030-12-31,NA,Sellan erittäin laaja tietokonetomografiatutkimus,0,0,0
46,Extensive MRI examination of sella turcica with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4CF,2003-01-01,2016-12-31,NA,Sellan laaja magneettitutkimus keskikenttälaitteella,0,0,0
47,Extensive MRI examination of sella turcica with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4CG,2003-01-01,2030-12-31,NA,Sellan laaja magneettitutkimus,0,0,0
48,Extensive MRI examination of sella turcica with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4CM,2009-01-01,2016-12-31,NA,Sellan laaja 3 Teslan MT,0,0,0
49,Very extensive MRI examination of sella turcica with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4DF,2003-01-01,2016-12-31,NA,Sellan erittäin laaja magneettitutkimus keskikenttälaitteella,0,0,0
