concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,tmp_name_en_source
1,Finnish reimbursement code,Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
2,REIMB,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
3,Fat metabolism disorder associated with chronic coronary artery disease,Condition,REIMB,REIMB,NA,213,1970-01-01,2012-03-31,NA,Krooniseen sepelvaltimotautiin liittyvä rasva-aineenvaihdunnan häiriö,Google
4,"NA",Condition,REIMB,REIMB,NA,204,1970-01-01,2099-12-31,NA,"NA",Google
5,"Tacrine, donepezil, rivastigmine, galantamine and other major and expensive drugs used to treat Alzheimer's disease",Condition,REIMB,REIMB,NA,307,1999-01-01,2003-03-31,NA,"Takriini, donepetsiili, rivastigmiini, galantamiini ja muut merkittävät ja kalliit Alzheimerin taudin hoidossa käytettävät lääkkeet",Google
6,"Donepezil, galantamine, memantine and rivastigmine",Condition,REIMB,REIMB,NA,307,2003-04-01,2016-10-31,NA,"Donepetsiili, galantamiini, memantiini ja rivastigmiini",Google
7,Rivastigmine,Condition,REIMB,REIMB,NA,307,2016-11-01,2018-05-31,NA,Rivastigmiini,Google
8,Insulin glargine 300 U / ml,Condition,REIMB,REIMB,NA,177,2017-01-01,2020-02-29,NA,Glargininsuliini 300 U/ml,Google
9,Psychosis requiring demanding treatment,Condition,REIMB,REIMB,NA,188,2000-04-01,2014-10-31,NA,Vaikeahoitoinen psykoosi,KELA
10,exenatide,Condition,REIMB,REIMB,NA,160,2013-04-01,2016-02-29,NA,Eksenatidi,Google
11,Exenatide and liraglutide,Condition,REIMB,REIMB,NA,160,2016-03-01,2016-12-31,NA,Eksenatidi ja liraglutidi,Google
12,Clopidogrel,Condition,REIMB,REIMB,NA,280,2004-08-01,2016-10-31,NA,Clopidogrel,Google
13,Clopidogrel,Condition,REIMB,REIMB,NA,315,2002-02-01,2016-10-31,NA,Clopidogrel,Google
14,"Orlistat, sibutramine and other major and expensive medicines used to treat obesity",Condition,REIMB,REIMB,NA,310,1999-01-01,2016-10-31,NA,"Orlistaatti, sibutramiini ja muut merkittävät ja kalliit liikalihavuuden hoidossa käytettävät lääkkeet",Google
15,liraglutide,Condition,REIMB,REIMB,NA,162,2013-08-01,2016-02-29,NA,Liraglutidi,Google
16,"Adalimumab, brodalumab, certolizumab pegol, etanercept, guselkumab, infliximab, ixekizumab, risankizumab, sekukinumab and ustekinumab (skin psoriasis)",Condition,REIMB,REIMB,NA,319,2005-09-01,2099-12-31,NA,"Adalimumabi, brodalumabi, etanersepti, guselkumabi, iksekitsumabi, infliksimabi, risankitsumabi, sekukinumabi, sertolitsumabipegoli ja ustekinumabi (ihopsoriaasi)",KELA
17,Cow's milk and / or soy protein allergy in young children,Condition,REIMB,REIMB,NA,501,1970-01-01,2005-11-30,NA,Pienten lasten lehmänmaito- ja/tai soijaproteiiniallergia,Google
18,Degludekinsuliini,Condition,REIMB,REIMB,NA,171,2015-06-01,2020-02-29,NA,Degludekinsuliini,Google
19,Mirabegroni,Condition,REIMB,REIMB,NA,359,2013-11-01,2015-02-28,NA,Mirabegroni,Google
20,liraglutide,Condition,REIMB,REIMB,NA,358,2013-08-01,2016-02-29,NA,Liraglutidi,Google
21,Degludekinsuliini,Condition,REIMB,REIMB,NA,371,2015-12-01,2020-02-29,NA,Degludekinsuliini,Google
22,strontium ranelate,Condition,REIMB,REIMB,NA,327,2008-08-01,2010-11-30,NA,Strontiumranelaatti,Google
23,denosumab,Condition,REIMB,REIMB,NA,347,2011-03-01,2011-12-31,NA,Denosumabi,Google
24,MPA,Condition,REIMB,REIMB,NA,187,1999-11-01,2001-06-30,NA,Mykofenolihappo,Google
25,Insulin glargine 300 U / ml,Condition,REIMB,REIMB,NA,382,2017-01-01,2020-02-29,NA,Glargininsuliini 300 U/ml,Google
26,Preservative-free combination of bimatoprost and timolol,Condition,REIMB,REIMB,NA,165,2014-12-01,2015-10-31,NA,Bimatoprostin ja timololin säilytysaineeton yhdistelmävalmiste,Google
27,MPA,Condition,REIMB,REIMB,NA,305,1999-04-01,2001-06-30,NA,Mykofenolihappo,Google
28,Chronic hypertension,Condition,REIMB,REIMB,NA,205,1970-01-01,2099-12-31,NA,Krooninen verenpainetauti,KELA
29,"Diabetes, insulin-treated",Condition,REIMB,REIMB,NA,103,1970-01-01,2099-12-31,NA,"Diabetes, insuliinihoito",KELA
30,"Diabetes, non-insulin-treated",Condition,REIMB,REIMB,NA,215,2017-01-01,2099-12-31,NA,"Diabetes, muu kuin insuliinihoito",KELA
31,Chronic asthma and similar chronic obstructive pulmonary diseases,Condition,REIMB,REIMB,NA,203,1970-01-01,2099-12-31,NA,Krooninen keuhkoastma ja sitä läheisesti muistuttavat krooniset obstruktiiviset keuhkosairaudet,KELA
32,Chronic coronary artery disease and dyslipidaemia associated with chronic coronary artery disease,Condition,REIMB,REIMB,NA,206,1970-01-01,2099-12-31,NA,Krooninen sepelvaltimotauti ja krooniseen sepelvaltimotautiin liittyvä rasva-aineenvaihdunnan häiriö,KELA
33,Severe psychotic and other severe mental disorders,Condition,REIMB,REIMB,NA,112,1970-01-01,2099-12-31,NA,Vaikeat psykoosit ja muut vaikeat mielenterveyden häiriöt,KELA
34,"Connective tissue diseases, rheumatoid arthritis and comparable disease",Condition,REIMB,REIMB,NA,202,1970-01-01,2099-12-31,NA,"Hajapesäkkeiset sidekudostaudit, reumaattiset niveltulehdukset ja niihin verrattavat tilat",KELA
35,Chronic arrhythmias,Condition,REIMB,REIMB,NA,207,1970-01-01,2099-12-31,NA,Krooniset sydämen rytmihäiriöt,KELA
36,"Apixaban, dabigatran, edoxaban and rivaroxaban for the treatment of atrial fibrillation",Condition,REIMB,REIMB,NA,290,2018-03-01,2099-12-31,NA,"Apiksabaani, dabigatraani, edoksabaani ja rivaroksabaani eteisvärinän hoitoon",KELA
37,Thyroid insufficiency,Condition,REIMB,REIMB,NA,104,1970-01-01,2099-12-31,NA,Kilpirauhasen vajaatoiminta,KELA
38,Glaucoma,Condition,REIMB,REIMB,NA,114,1970-01-01,2099-12-31,NA,Glaukooma,KELA
39,Breast cancer,Condition,REIMB,REIMB,NA,115,1970-01-01,2099-12-31,NA,Rintasyöpä,KELA
40,Malignant tumour,Condition,REIMB,REIMB,NA,130,1970-01-01,2099-12-31,NA,"Pahanlaatuiset kasvaimet, joita ei ole edellä erikseen mainittu",KELA
41,"Apixaban, dabigatran, edoxaban and rivaroxaban for the treatment of atrial fibrillation",Condition,REIMB,REIMB,NA,351,2012-04-01,2099-12-31,NA,"Apiksabaani*, dabigatraani, edoksabaani ja rivaroksabaani* eteisvärinän hoitoon",KELA
42,Epilepsy and comparable convulsive disorders,Condition,REIMB,REIMB,NA,111,1970-01-01,2099-12-31,NA,Epilepsia ja siihen verrattavat kouristustilat,KELA
43,"Abatacept, adalimumab, anakinra, certolizumab pegol, etanercept, golimumab, infliximab, ixekizumab, sarilumab, secukinumab, tocilizumab and ustekinumab (rheumatoid diseases)",Condition,REIMB,REIMB,NA,313,2001-07-01,2099-12-31,NA,"Abatasepti*, adalimumabi*, anakinra*, etanersepti*, golimumabi*, iksekitsumabi, infliksimabi*, sarilumabi, sekukinumabi, sertolitsumabipegoli*, tosilitsumabi* ja ustekinumabi (reumasairaudet)",KELA
44,Ulcerative colitis and Crohn's disease,Condition,REIMB,REIMB,NA,208,1970-01-01,2099-12-31,NA,Haavainen paksusuolentulehdus ja Crohnin tauti,KELA
45,"Abatacept, adalimumab, anakinra, certolizumab pegol, etanercept, golimumab, infliximab, ixekizumab, sarilumab, secukinumab and tocilizumab",Condition,REIMB,REIMB,NA,281,2011-02-01,2099-12-31,NA,"Abatasepti, adalimumabi, anakinra, etanersepti, golimumabi, iksekitsumabi, infliksimabi, sarilumabi, sekukinumabi, sertolitsumabipegoli ja tosilitsumabi",KELA
46,Prostate cancer,Condition,REIMB,REIMB,NA,116,1970-01-01,2099-12-31,NA,Eturauhassyöpä,KELA
47,Chronic cardiac insufficiency,Condition,REIMB,REIMB,NA,201,1970-01-01,2099-12-31,NA,Krooninen sydämen vajaatoiminta,KELA
48,"Leukaemia and other malignant diseases of the blood and bone marrow, and malignant diseases of the lymphatic tissue",Condition,REIMB,REIMB,NA,117,1970-01-01,2099-12-31,NA,"Leukemiat, muut pahanlaatuiset veri- ja luuydintaudit sekä pahanlaatuiset imukudostaudit",KELA
49,"Dulaglutide, exenatide, liraglutide, lixisenatide and semaglutide (adults)",Condition,REIMB,REIMB,NA,285,2017-01-01,2099-12-31,NA,"Dulaglutidi, eksenatidi, liksisenatidi, liraglutidi ja semaglutidi (aikuiset)",KELA
50,Parkinson's disease and comparable movement disrorders,Condition,REIMB,REIMB,NA,110,1970-01-01,2099-12-31,NA,Parkinsonin tauti ja siihen verrattavat liikehäiriöt,KELA
