concept_id,concept_synonym_name,language_concept_id
3,Krooniseen sepelvaltimotautiin liittyvä rasva-aineenvaihdunnan häiriö,4181730
4,"NA",4181730
5,"Takriini, donepetsiili, rivastigmiini, galantamiini ja muut merkittävät ja kalliit Alzheimerin taudin hoidossa käytettävät lääkkeet",4181730
6,"Donepetsiili, galantamiini, memantiini ja rivastigmiini",4181730
7,Rivastigmiini,4181730
8,Glargininsuliini 300 U/ml,4181730
9,Vaikeahoitoinen psykoosi,4181730
10,Eksenatidi,4181730
11,Eksenatidi ja liraglutidi,4181730
12,Clopidogrel,4181730
13,Clopidogrel,4181730
14,"Orlistaatti, sibutramiini ja muut merkittävät ja kalliit liikalihavuuden hoidossa käytettävät lääkkeet",4181730
15,Liraglutidi,4181730
16,"Adalimumabi, brodalumabi, etanersepti, guselkumabi, iksekitsumabi, infliksimabi, risankitsumabi, sekukinumabi, sertolitsumabipegoli ja ustekinumabi (ihopsoriaasi)",4181730
17,Pienten lasten lehmänmaito- ja/tai soijaproteiiniallergia,4181730
18,Degludekinsuliini,4181730
19,Mirabegroni,4181730
20,Liraglutidi,4181730
21,Degludekinsuliini,4181730
22,Strontiumranelaatti,4181730
23,Denosumabi,4181730
24,Mykofenolihappo,4181730
25,Glargininsuliini 300 U/ml,4181730
26,Bimatoprostin ja timololin säilytysaineeton yhdistelmävalmiste,4181730
27,Mykofenolihappo,4181730
28,Krooninen verenpainetauti,4181730
29,"Diabetes, insuliinihoito",4181730
30,"Diabetes, muu kuin insuliinihoito",4181730
31,Krooninen keuhkoastma ja sitä läheisesti muistuttavat krooniset obstruktiiviset keuhkosairaudet,4181730
32,Krooninen sepelvaltimotauti ja krooniseen sepelvaltimotautiin liittyvä rasva-aineenvaihdunnan häiriö,4181730
33,Vaikeat psykoosit ja muut vaikeat mielenterveyden häiriöt,4181730
34,"Hajapesäkkeiset sidekudostaudit, reumaattiset niveltulehdukset ja niihin verrattavat tilat",4181730
35,Krooniset sydämen rytmihäiriöt,4181730
36,"Apiksabaani, dabigatraani, edoksabaani ja rivaroksabaani eteisvärinän hoitoon",4181730
37,Kilpirauhasen vajaatoiminta,4181730
38,Glaukooma,4181730
39,Rintasyöpä,4181730
40,"Pahanlaatuiset kasvaimet, joita ei ole edellä erikseen mainittu",4181730
41,"Apiksabaani*, dabigatraani, edoksabaani ja rivaroksabaani* eteisvärinän hoitoon",4181730
42,Epilepsia ja siihen verrattavat kouristustilat,4181730
43,"Abatasepti*, adalimumabi*, anakinra*, etanersepti*, golimumabi*, iksekitsumabi, infliksimabi*, sarilumabi, sekukinumabi, sertolitsumabipegoli*, tosilitsumabi* ja ustekinumabi (reumasairaudet)",4181730
44,Haavainen paksusuolentulehdus ja Crohnin tauti,4181730
45,"Abatasepti, adalimumabi, anakinra, etanersepti, golimumabi, iksekitsumabi, infliksimabi, sarilumabi, sekukinumabi, sertolitsumabipegoli ja tosilitsumabi",4181730
46,Eturauhassyöpä,4181730
47,Krooninen sydämen vajaatoiminta,4181730
48,"Leukemiat, muut pahanlaatuiset veri- ja luuydintaudit sekä pahanlaatuiset imukudostaudit",4181730
49,"Dulaglutidi, eksenatidi, liksisenatidi, liraglutidi ja semaglutidi (aikuiset)",4181730
50,Parkinsonin tauti ja siihen verrattavat liikehäiriöt,4181730
51,D-vitamiinin krooniset aineenvaihduntahäiriöt,4181730
52,"Dulaglutidi*, eksenatidi*, liksisenatidi*, liraglutidi* ja semaglutidi (aikuiset)",4181730
53,Pimekrolimuusi- ja takrolimuusivoide*,4181730
54,Munuaisten vajaatoimintaan liittyvä vaikea anemia,4181730
55,Pernisiöösi anemia ja muut B12-vitamiinin imeytymishäiriöt,4181730
56,"Brivarasetaami, eslikarbatsepiini, gabapentiini, lakosamidi, levetirasetaami, perampaneeli, pregabaliini, tiagabiini ja tsonisamidi",4181730
57,Sukurauhasten vaikea vajaatoiminta,4181730
58,Kihti,4181730
59,Elinsiirron tai kudossiirron jälkitila,4181730
60,"Dimetyylifumaraatti, glatirameeriasetaatti, interferoni beeta ja teriflunomidi (MS-tauti)",4181730
61,"Dimetyylifumaraatti*, glatirameeriasetaatti*, interferoni beeta* ja teriflunomidi* (MS-tauti)",4181730
62,"Alprostadiili, aviptadiilin ja fentolamiinin yhdistelmävalmiste ja sildenafiili",4181730
63,Päivittäistä letkuruokintaa vaativat tilat,4181730
64,Gynekologiset syövät,4181730
65,"Lantaanikarbonaatti, sevalameeri ja sukroferrinen oksihydroksidi",4181730
66,Lamotrigiini ja topiramaatti,4181730
67,MS-tauti,4181730
68,Vaikea haiman krooninen vajaatoiminta,4181730
69,"Apiksabaani, dabigatraani, edoksabaani ja rivaroksabaani syvän laskimotukoksen ja keuhkoembolian uusiutumisen pitkäaikaiseen ehkäisyyn",4181730
70,"Ravintoaineiden, lähinnä rasvojen, vaikeat imeytymishäiriöt",4181730
71,Dialyysihoitoa edellyttävä uremia,4181730
72,"Adalimumabi, golimumabi, infliksimabi ja ustekinumabi (suolistosairaudet)",4181730
73,Aivolisäkkeen etulohkon vajaatoiminta,4181730
74,Sarkoidoosi,4181730
75,Dronedaroni,4181730
76,Abirateroni ja entsalutamidi,4181730
77,Nalmefeeni ja naltreksoni,4181730
78,Periytyvät rasva-aineenvaihdunnan vaikea-asteiset häiriöt (familiaalinen hyperkolesterolemia ja tyypin III dyslipoproteinemia),4181730
79,Rasagiliini,4181730
80,Daltepariini ja tintsapariini (yli 6 kuukauden hoidossa),4181730
81,Teriparatidi,4181730
82,Parikalsitoli ja sinakalseetti,4181730
83,Lenalidomidi,4181730
84,Imatinibi,4181730
85,Nintedanibi ja pirfenidoni,4181730
86,Trigeminus- tai glossofaryngikusneuralgia,4181730
