"","CODE1","n_codes","n_patients"
"1","205",36208,34444
"2","103",29902,29733
"3","215",26432,26431
"4","203",24437,21954
"5","206",18921,18813
"6","112",16494,12343
"7","202",12150,11159
"8","207",10328,10147
"9","290",7733,7733
"10","104",7436,7339
"11","114",7337,7302
"12","213",7231,7212
"13","115",6912,6355
"14","130",6410,6248
"15","351",6150,6148
"16","111",5518,5015
"17","313",4767,1770
"18","208",4209,4038
"19","281",4123,1641
"20","116",3900,3614
"21","201",3789,3752
"22","204",3398,3307
"23","307",3319,3250
"24","117",3259,3031
"25","285",2009,2006
"26","110",1969,1945
"27","177",1761,1760
"28","123",1755,1715
"29","346",1544,1517
"30","317",1543,991
"31","138",1539,1491
"32","188",1449,1388
"33","160",1439,1436
"34","107",1419,1415
"35","280",1393,1218
"36","182",1391,1362
"37","121",1358,1340
"38","212",1318,1261
"39","127",1167,1161
"40","157",1117,547
"41","303",1075,558
"42","308",1037,1015
"43","504",936,769
"44","128",911,881
"45","315",870,739
"46","310",865,806
"47","190",799,486
"48","183",737,712
"49","109",732,729
"50","162",718,718
"51","133",713,708
"52","319",683,249
"53","379",669,668
"54","601",628,580
"55","137",625,617
"56","501",583,555
"57","326",565,289
"58","101",507,477
"59","132",469,444
"60","342",431,431
"61","171",424,253
"62","163",378,356
"63","309",377,265
"64","211",376,368
"65","359",356,356
"66","358",310,310
"67","193",307,306
"68","166",298,272
"69","318",291,256
"70","196",284,251
"71","153",268,220
"72","189",261,148
"73","284",261,222
"74","119",251,248
"75","602",244,177
"76","289",227,227
"77","192",213,206
"78","134",211,189
"79","106",209,207
"80","321",200,177
"81","180",195,194
"82","197",193,184
"83","164",190,127
"84","108",188,182
"85","113",178,177
"86","105",162,159
"87","320",162,142
"88","331",162,148
"89","348",151,151
"90","381",151,151
"91","102",150,149
"92","301",149,86
"93","356",146,126
"94","120",145,115
"95","288",132,132
"96","159",113,107
"97","198",112,106
"98","191",111,105
"99","306",110,106
"100","349",107,107
"101","353",106,88
"102","371",105,94
"103","129",92,90
"104","355",92,91
"105","352",85,77
"106","181",83,78
"107","377",77,71
"108","505",69,68
"109","176",68,68
"110","126",67,67
"111","327",63,63
"112","158",62,59
"113","394",60,60
"114","178",58,58
"115","167",51,49
"116","155",47,47
"117","304",47,15
"118","369",46,45
"119","347",45,45
"120","364",44,43
"121","362",40,37
"122","150",39,27
"123","152",38,24
"124","122",37,33
"125","339",35,20
"126","156",33,29
"127","187",32,32
"128","302",32,28
"129","390",30,30
"130","168",29,27
"131","287",29,28
"132","388",28,28
"133","382",26,26
"134","329",25,25
"135","135",24,23
"136","174",23,22
"137","186",22,19
"138","380",21,18
"139","286",19,19
"140","340",19,19
"141","506",19,16
"142","282",17,17
"143","322",17,17
"144","344",17,14
"145","372",17,17
"146","338",16,10
"147","323",15,14
"148","366",15,15
"149","503",14,13
"150","169",13,13
"151","283",13,13
"152","124",12,12
"153","214",12,12
"154","393",12,12
"155","334",11,8
"156","165",10,10
"157","305",10,10
"158","376",10,10
"159","199",9,9
"160","361",9,9
"161","374",9,9
"162","350",8,7
"163","368",7,7
"164","175",6,6
"165","316",6,6
"166","398",6,6
