code,freq_finngen,freq_total
205,36208,36208
103,29902,29902
215,26432,26432
203,24437,24437
206,18921,18921
112,16494,16494
202,12150,12150
207,10328,10328
290,7733,7733
104,7436,7436
114,7337,7337
213,7231,7231
115,6912,6912
130,6410,6410
351,6150,6150
111,5518,5518
313,4767,4767
208,4209,4209
281,4123,4123
116,3900,3900
201,3789,3789
204,3398,3398
307,3319,3319
117,3259,3259
285,2009,2009
110,1969,1969
177,1761,1761
123,1755,1755
346,1544,1544
317,1543,1543
138,1539,1539
188,1449,1449
160,1439,1439
107,1419,1419
280,1393,1393
182,1391,1391
121,1358,1358
212,1318,1318
127,1167,1167
157,1117,1117
303,1075,1075
308,1037,1037
504,936,936
128,911,911
315,870,870
310,865,865
190,799,799
183,737,737
109,732,732
162,718,718
133,713,713
319,683,683
379,669,669
601,628,628
137,625,625
501,583,583
326,565,565
101,507,507
132,469,469
342,431,431
171,424,424
163,378,378
309,377,377
211,376,376
359,356,356
358,310,310
193,307,307
166,298,298
318,291,291
196,284,284
153,268,268
189,261,261
284,261,261
119,251,251
602,244,244
289,227,227
192,213,213
134,211,211
106,209,209
321,200,200
180,195,195
197,193,193
164,190,190
108,188,188
113,178,178
105,162,162
320,162,162
331,162,162
348,151,151
381,151,151
102,150,150
301,149,149
356,146,146
120,145,145
288,132,132
159,113,113
198,112,112
191,111,111
306,110,110
349,107,107
353,106,106
371,105,105
129,92,92
355,92,92
352,85,85
181,83,83
377,77,77
505,69,69
176,68,68
126,67,67
327,63,63
158,62,62
394,60,60
178,58,58
167,51,51
155,47,47
304,47,47
369,46,46
347,45,45
364,44,44
362,40,40
150,39,39
152,38,38
122,37,37
339,35,35
156,33,33
187,32,32
302,32,32
390,30,30
168,29,29
287,29,29
388,28,28
382,26,26
329,25,25
135,24,24
174,23,23
186,22,22
380,21,21
286,19,19
340,19,19
506,19,19
282,17,17
322,17,17
344,17,17
372,17,17
338,16,16
323,15,15
366,15,15
503,14,14
169,13,13
283,13,13
124,12,12
214,12,12
393,12,12
334,11,11
165,10,10
305,10,10
376,10,10
199,9,9
361,9,9
374,9,9
350,8,8
368,7,7
175,6,6
316,6,6
398,6,6
