concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,tmp_name_en_source
1,SPAT,Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
2,SPAT,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
3,EYE AREA,Condition,SPAT,SPAT,NA,SPAT1000,2009-01-01,2099-12-31,NA,SILMÄN ALUE,Traslator
4,Puncture of abscess of eyelid,Condition,SPAT,SPAT,NA,SPAT1001,2009-01-01,2010-12-31,NA,Silmäluomen paiseen puhkaisu,Traslator
5,Excision or drainage of chalazion,Condition,SPAT,SPAT,NA,SPAT1002,2009-01-01,2099-12-31,NA,Luomirakkulan poisto tai tyhjennys,Traslator
6,Suture of wound of eyelid,Condition,SPAT,SPAT,NA,SPAT1003,2009-01-01,2010-12-31,NA,Silmäluomen haavan ompelu,Traslator
7,Incision of lacrimal point or canaliculus,Condition,SPAT,SPAT,NA,SPAT1004,2009-01-01,2017-12-31,NA,Kyynelpisteen tai -tiehyeen aukaisu,Traslator
8,Removal of foreign body from conjunctiva,Condition,SPAT,SPAT,NA,SPAT1005,2009-01-01,2017-12-31,NA,Vierasesineen poisto sidekalvolta,Traslator
9,Removal of foreign body from conjunctiva under regional anaesthesia,Condition,SPAT,SPAT,NA,SPAT1006,2009-01-01,2010-12-31,NA,Sidekalvon vierasesineen poisto puudutuksessa,Traslator
10,Removal of foreign body from cornea,Condition,SPAT,SPAT,NA,SPAT1007,2009-01-01,2017-12-31,NA,Vierasesineen poisto sarveiskalvosta,Traslator
11,Photography of fundus of the eye or interpretation of photograph,Condition,SPAT,SPAT,NA,SPAT1008,2009-01-01,2099-12-31,NA,Silmänpohjan valokuvaus tai kuvan tulkinta,Traslator
12,Measurement of intraocular pressure,Condition,SPAT,SPAT,NA,SPAT1009,2009-01-01,2099-12-31,NA,Silmänpaineen mittaus,Traslator
13,Ophthalmoscopy,Condition,SPAT,SPAT,NA,SPAT1010,2009-01-01,2099-12-31,NA,Silmänpohjatutkimus (oftalmoskopia),Traslator
14,Other examination of eye area,Condition,SPAT,SPAT,NA,SPAT1011,2009-01-01,2010-12-31,NA,Muu silmän alueen tutkimus,Traslator
15,Other minor procedure on eye area,Condition,SPAT,SPAT,NA,SPAT1012,2009-01-01,2010-12-31,NA,Muu silmän alueen pientoimenpide,Traslator
