concept_id,concept_synonym_name,language_concept_id
3,SILMÄN ALUE,4181730
4,Silmäluomen paiseen puhkaisu,4181730
5,Luomirakkulan poisto tai tyhjennys,4181730
6,Silmäluomen haavan ompelu,4181730
7,Kyynelpisteen tai -tiehyeen aukaisu,4181730
8,Vierasesineen poisto sidekalvolta,4181730
9,Sidekalvon vierasesineen poisto puudutuksessa,4181730
10,Vierasesineen poisto sarveiskalvosta,4181730
11,Silmänpohjan valokuvaus tai kuvan tulkinta,4181730
12,Silmänpaineen mittaus,4181730
13,Silmänpohjatutkimus (oftalmoskopia),4181730
14,Muu silmän alueen tutkimus,4181730
15,Muu silmän alueen pientoimenpide,4181730
16,Karsastuskuntoutus ja -ohjaus,4181730
17,Silmien hoito,4181730
18,Karsastuksen tutkiminen,4181730
19,Näön tutkiminen,4181730
20,Värinäön tutkimus,4181730
21,Silmän mikroskooppitutkimus,4181730
22,"KORVA, NENÄ JA KURKUNPÄÄ",4181730
23,Tympanostomiaputken asennus,4181730
24,Kitarisaleikkaus,4181730
25,Korvakäytävän paiseen puhkaisu,4181730
26,Tärykalvopisto,4181730
27,Polyypin poisto,4181730
28,Nenän murtuman korjaaminen suljetusti,4181730
29,Nenäverenvuodon hoito hyydyttämällä,4181730
30,Nenän etutamponaatio,4181730
31,Nenän takatamponaatio,4181730
32,Nenän sivuonteloiden ultraäänitutkimus,4181730
33,Sylkirauhasten ultraäänitutkimus,4181730
34,Sylkirauhasen solunäytteen otto UÄ-ohjauksessa,4181730
35,Nielupaiseen avaus tai tyhjennys,4181730
36,Vierasesineen poisto nielusta,4181730
37,Korvakäytävän huuhtelu tai vahan poisto,4181730
38,Vierasesineen poisto korvakäytävästä,4181730
39,Vierasesineen poisto nenästä,4181730
40,Poskiontelopunktio,4181730
41,"Muu korvan, nenän tai kurkunpään pientoimenpide",4181730
42,Neulakudosnäytteen otto sylkirauhasesta,4181730
43,Otomikroskopia,4181730
44,Nenän ja kurkunpään tähystys,4181730
45,Perusteellinen kuulontutkimus,4181730
46,Tasapainon ylläpitoon liittyvä ohjaus,4181730
47,Audiometria,4181730
48,Tympanometria,4181730
49,Tasapainoelimen kallistusprovokaatiotesti/Epleyn manööveri,4181730
50,Nielurisaleikkaus,4181730
51,Korvakäytävän tamponaatio,4181730
52,Laaja korvan tutkimus,4181730
53,"Kuulolaitteen tarkastus, huolto ja käytön ohjaus",4181730
54,"HERMOSTO, UMPIERITYS, UNI-VALVETILA",4181730
55,Kilpirauhasen ultraäänitutkimus,4181730
56,Ohutneulanäytteen otto kilpirauhasesta,4181730
57,Lannepisto (lumbaalipunktio),4181730
58,Perusteellinen neurologinen tutkimus,4181730
59,Unihäiriöihin liittyvä ohjaus,4181730
60,Tajunnantason ja neurologisten oireiden seuranta,4181730
61,Muistitutkimus,4181730
62,Perifeerisen hermoston tutkiminen,4181730
63,Unipolygrafiatutkimus,4181730
64,HENGITYSELIMET,4181730
65,Pleurapunktio,4181730
66,Uloshengityksen huippuvirtausmittaus,4181730
67,PEF-seurantaopetus,4181730
68,Spirometrinen tutkimus vastaanotolla,4181730
69,Hapen antaminen,4181730
70,Hengitysharjoitusten toteuttaminen,4181730
71,Keuhkojen tyhjennyshoito,4181730
72,Liman imeminen hengitysteistä,4181730
73,Trakeostomia-avanteen hoito,4181730
74,Hengityksen hoitoon liittyvä ohjaus,4181730
75,"SYDÄN, VERENKIERTOELIMISTÖ, IMUSUONISTO, LUUYDIN",4181730
76,Vatsa-aortan ultraäänitutkimus,4181730
77,Yläraajalaskimoiden ultraäänitutkimus,4181730
78,Alaraajalaskimoiden ultraäänitutkimus,4181730
79,Alaraajalaskimoiden verivirtauksen Doppler-ultraäänitutkimus,4181730
80,Imusolmukkeiden ultraäänitutkimus,4181730
81,Sähköinen rytminsiirto,4181730
82,Venesektio,4181730
83,Laskimon kanylointi,4181730
84,Keskuslaskimokanylointi,4181730
85,Valtimoverinäytteen otto,4181730
86,Keskuslaskimo- tai valtimokanyylin poisto,4181730
87,Sydämen ultraäänitutkimus,4181730
88,Luuydinnäytteen otto,4181730
89,Kardiorespiratorinen kokonaisarvio,4181730
90,Lääkkeellinen rytminsiirto,4181730
91,IV-nestehoidon aloitus ja seuranta,4181730
92,"ELVYTYS, ANESTESIA, VERENKIERRON SEURANTA,YM.",4181730
93,Inhalaatioanestesia,4181730
94,Leikkaussaliolosuhteissa tehtävät leikkaukset ja vastaavat toimenpiteet,4181730
95,Valtimon liuotushoito,4181730
96,Verensiirto,4181730
97,Sedaatio ilman anestesiaa,4181730
98,"Suonensisäinen, intramuskulaarinen tai rektaalinen yleisanestesia",4181730
99,Nenänielu- tai nieluputken asennus,4181730
100,Intubaatio,4181730
101,Trakeostomia,4181730
102,Ylipainehengitys,4181730
103,Verenkierron tai hengityksen elvytys,4181730
104,Sydämen ulkoisen tahdistimen asetus tai käyttö,4181730
105,EKG:n ottaminen,4181730
106,Rasitus-EKG,4181730
107,Verenpaineen mittaus Doppler-ultraäänilaitteen avulla,4181730
108,Verenpaineen pitkäaikaisseuranta,4181730
109,Ortostaattinen koe,4181730
110,Verenvuotopotilaan hoito ja seuranta,4181730
111,Vaativa sairaankuljetus,4181730
112,Ensiapupotilaan seuranta,4181730
113,Tehovalvonta,4181730
114,"KIVUN HOITO, PUUDUTUKSET",4181730
115,Akupunktio,4181730
116,Laaja ihon pintapuudutus ulkoisesti voiteella tai geelillä,4181730
117,Kylkiluuvälin puudutus,4181730
118,Kivun hoito kipupumpun avulla,4181730
119,Kivun voimakkuuden mittaaminen,4181730
120,Kivunhoidon suunnittelu,4181730
121,Paikallispuudutus,4181730
122,Johtopuudutus,4181730
123,"RUUANSULATUSKANAVA, KAULA, VATSA, RAVITSEMUS",4181730
124,Muu ravitsemusterapianimikkeistön mukainen toimenpide,4181730
125,Kaulan ultraäänitutkimus,4181730
126,Nivusten ja/tai vatsapeitteiden ultraäänitutkimus,4181730
127,Peräpukamatoimenpide,4181730
128,Vatsan ultraäänitutkimus,4181730
129,Ylävatsan ultraäänitutkimus,4181730
130,Alavatsan ultraäänitutkimus,4181730
131,Askitespunktio,4181730
132,Nenämahaletkun laitto,4181730
133,Mahalaukkuavanneletkun vaihto,4181730
134,Avannehoito ja -ohjaus,4181730
135,Vierasesineen poisto peräsuolesta,4181730
136,Peräruiske,4181730
137,Lantionpohjan/sulkijalihasten harjoituksen ohjaus,4181730
138,Paikallisen muutoksen poisto mahasuolikanavan tähystyksessä,4181730
139,"Esofago-, gastro- ja duodenoskopia",4181730
140,Paksusuolen tähystys,4181730
141,Sigmoideoskopia,4181730
142,Peräsuolen tähystys (rektoskopia),4181730
143,Peräaukon tähystys,4181730
144,Erityisen vaativa peräaukon tähystys (proktoskopia/anoskopia),4181730
145,Ruoka-ainealtistus,4181730
146,Potilaan/asiakkaan hygieniasta huolehtiminen,4181730
147,Suoliston toimintaan liittyvä ohjaus,4181730
148,Ravitsemuskartoitus,4181730
149,Mahahuuhtelu,4181730
