"","CODE1","n_codes","n_patients"
"1","SPAT1254",1155579,10883
"2","SPAT1301",535003,27913
"3","SPAT1222",503814,9044
"4","SPAT1306",404915,10355
"5","SPAT1137",306836,1963
"6","SPAT1292",258797,3351
"7","SPAT1256",249949,25972
"8","SPAT1263",219239,38047
"9","SPAT1250",187380,21858
"10","SPAT1253",176470,34125
"11","SPAT1234",154483,2884
"12","SPAT1223",127275,19262
"13","SPAT1156",123496,8395
"14","SPAT1249",115638,33726
"15","SPAT1325",95572,49070
"16","SPAT1148",86750,7241
"17","SPAT1216",72958,7262
"18","SPAT1310",71900,28458
"19","SPAT1262",69189,13620
"20","SPAT1240",62360,7435
"21","SPAT1312",49288,25514
"22","SPAT1196",46114,4912
"23","SPAT1305",42594,6924
"24","SPAT1172",41985,945
"25","SPAT1139",41099,1157
"26","SPAT1283",40772,17355
"27","SPAT1211",33071,5170
"28","SPAT1304",32606,2786
"29","SPAT1153",31916,23303
"30","SPAT1294",30283,828
"31","SPAT1230",26556,10599
"32","SPAT1379",25481,3900
"33","SPAT1033",25192,13101
"34","SPAT1251",24854,3480
"35","SPAT1252",22624,4212
"36","SPAT1014",20245,676
"37","SPAT1260",19368,11026
"38","SPAT1308",18661,9084
"39","SPAT1275",18277,153
"40","SPAT1244",17371,601
"41","SPAT1255",16936,2977
"42","SPAT1149",16524,6834
"43","SPAT1307",16244,3942
"44","SPAT1324",16057,14589
"45","SPAT1100",15443,3821
"46","SPAT1097",12877,8353
"47","SPAT1315",12821,5312
"48","SPAT1144",12586,3231
"49","SPAT1167",12544,1010
"50","SPAT1317",11629,6918
"51","SPAT1197",11257,6309
"52","SPAT1192",10758,7407
"53","SPAT1053",10631,6928
"54","SPAT1245",10225,1770
"55","SPAT1235",10121,782
"56","SPAT1193",9025,7518
"57","SPAT1295",8933,3106
"58","SPAT1212",8288,5398
"59","SPAT1336",7896,3818
"60","SPAT1360",7241,5321
"61","SPAT1281",7135,4129
"62","SPAT1104",6747,3698
"63","SPAT1101",6380,2142
"64","SPAT1229",6268,3738
"65","SPAT1316",6175,4209
"66","SPAT1311",6063,2464
"67","SPAT1028",5824,3870
"68","SPAT1220",5702,3375
"69","SPAT1058",5642,4423
"70","SPAT1043",5593,5072
"71","SPAT1081",5543,4236
"72","SPAT1243",5476,2021
"73","SPAT1363",5456,4573
"74","SPAT1215",5293,2919
"75","SPAT1238",5284,796
"76","SPAT1225",5221,1072
"77","SPAT1125",5100,320
"78","SPAT1309",4650,1824
"79","SPAT1265",4490,578
"80","SPAT1059",4472,3208
"81","SPAT1237",4179,383
"82","SPAT1285",4082,2464
"83","SPAT1016",4072,2656
"84","SPAT1157",4055,491
"85","SPAT1357",3976,1621
"86","SPAT1203",3895,2643
"87","SPAT1202",3717,2069
"88","SPAT1246",3678,2710
"89","SPAT1217",3640,2097
"90","SPAT1227",3637,350
"91","SPAT1299",3532,660
"92","SPAT1008",3340,2361
"93","SPAT1210",3303,2158
"94","SPAT1380",3177,2235
"95","SPAT1226",3074,768
"96","SPAT1190",3067,2676
"97","SPAT1195",2945,1364
"98","SPAT1141",2842,2541
"99","SPAT1284",2715,1965
"100","SPAT1138",2690,542
"101","SPAT1364",2669,1978
"102","SPAT1224",2542,480
"103","SPAT1273",2516,2108
"104","SPAT1083",2501,1482
"105","SPAT1147",2496,832
"106","SPAT1257",2450,1706
"107","SPAT1389",2446,941
"108","SPAT1276",2444,1252
"109","SPAT1368",2061,1801
"110","SPAT1189",1825,1111
"111","SPAT1370",1811,1593
"112","SPAT1272",1780,149
"113","SPAT1266",1666,1383
"114","SPAT1303",1656,581
"115","SPAT1366",1643,1559
"116","SPAT1321",1599,1047
"117","SPAT1282",1593,1482
"118","SPAT1291",1468,714
"119","SPAT1221",1466,736
"120","SPAT1050",1459,1301
"121","SPAT1181",1395,1120
"122","SPAT1151",1389,370
"123","SPAT1131",1385,1221
"124","SPAT1298",1336,454
"125","SPAT1323",1333,1036
"126","SPAT1213",1331,710
"127","SPAT1146",1306,877
"128","SPAT1200",1287,999
"129","SPAT1335",1273,278
"130","SPAT1322",1264,1082
"131","SPAT1359",1261,708
"132","SPAT1044",1222,1029
"133","SPAT1247",1219,200
"134","SPAT1342",1207,979
"135","SPAT1152",1201,1138
"136","SPAT1399",1192,1098
"137","SPAT1130",1187,1053
"138","SPAT1241",1157,738
"139","SPAT1106",1148,263
"140","SPAT1057",1133,876
"141","SPAT1054",1068,752
"142","SPAT1352",1051,332
"143","SPAT1231",1003,708
"144","SPAT1039",975,758
"145","SPAT1099",965,872
"146","SPAT1334",950,455
"147","SPAT1267",870,72
"148","SPAT1339",863,139
"149","SPAT1127",849,179
"150","-1",847,128
"151","SPAT1098",839,727
"152","SPAT1042",769,149
"153","SPAT1259",739,666
"154","SPAT1296",731,424
"155","SPAT1164",683,16
"156","SPAT1383",634,495
"157","SPAT1228",632,114
"158","SPAT1373",618,550
"159","SPAT1264",615,357
"160","SPAT1384",590,437
"161","SPAT1239",580,181
"162","SPAT1391",575,285
"163","SPAT1377",558,345
"164","SPAT1009",557,405
"165","SPAT1293",555,226
"166","SPAT1279",525,373
"167","SPAT1204",520,400
"168","SPAT1386",496,364
"169","SPAT1051",482,375
"170","SPAT1375",478,427
"171","SPAT1128",474,241
"172","SPAT1367",456,369
"173","SPAT1111",455,354
"174","SPAT1385",455,340
"175","SPAT1074",449,104
"176","SPAT1168",444,119
"177","SPAT1154",441,361
"178","SPAT1382",426,309
"179","SPAT1187",416,354
"180","SPAT1070",411,388
"181","SPAT1381",409,291
"182","SPAT1143",407,347
"183","SPAT1041",385,374
"184","SPAT1182",382,333
"185","SPAT1236",375,293
