code,freq_finngen,freq_total
SPAT1254,1155579,1155579
SPAT1301,535003,535003
SPAT1222,503814,503814
SPAT1306,404915,404915
SPAT1137,306836,306836
SPAT1292,258797,258797
SPAT1256,249949,249949
SPAT1263,219239,219239
SPAT1250,187380,187380
SPAT1253,176470,176470
SPAT1234,154483,154483
SPAT1223,127275,127275
SPAT1156,123496,123496
SPAT1249,115638,115638
SPAT1325,95572,95572
SPAT1148,86750,86750
SPAT1216,72958,72958
SPAT1310,71900,71900
SPAT1262,69189,69189
SPAT1240,62360,62360
SPAT1312,49288,49288
SPAT1196,46114,46114
SPAT1305,42594,42594
SPAT1172,41985,41985
SPAT1139,41099,41099
SPAT1283,40772,40772
SPAT1211,33071,33071
SPAT1304,32606,32606
SPAT1153,31916,31916
SPAT1294,30283,30283
SPAT1230,26556,26556
SPAT1379,25481,25481
SPAT1033,25192,25192
SPAT1251,24854,24854
SPAT1252,22624,22624
SPAT1014,20245,20245
SPAT1260,19368,19368
SPAT1308,18661,18661
SPAT1275,18277,18277
SPAT1244,17371,17371
SPAT1255,16936,16936
SPAT1149,16524,16524
SPAT1307,16244,16244
SPAT1324,16057,16057
SPAT1100,15443,15443
SPAT1097,12877,12877
SPAT1315,12821,12821
SPAT1144,12586,12586
SPAT1167,12544,12544
SPAT1317,11629,11629
SPAT1197,11257,11257
SPAT1192,10758,10758
SPAT1053,10631,10631
SPAT1245,10225,10225
SPAT1235,10121,10121
SPAT1193,9025,9025
SPAT1295,8933,8933
SPAT1212,8288,8288
SPAT1336,7896,7896
SPAT1360,7241,7241
SPAT1281,7135,7135
SPAT1104,6747,6747
SPAT1101,6380,6380
SPAT1229,6268,6268
SPAT1316,6175,6175
SPAT1311,6063,6063
SPAT1028,5824,5824
SPAT1220,5702,5702
SPAT1058,5642,5642
SPAT1043,5593,5593
SPAT1081,5543,5543
SPAT1243,5476,5476
SPAT1363,5456,5456
SPAT1215,5293,5293
SPAT1238,5284,5284
SPAT1225,5221,5221
SPAT1125,5100,5100
SPAT1309,4650,4650
SPAT1265,4490,4490
SPAT1059,4472,4472
SPAT1237,4179,4179
SPAT1285,4082,4082
SPAT1016,4072,4072
SPAT1157,4055,4055
SPAT1357,3976,3976
SPAT1203,3895,3895
SPAT1202,3717,3717
SPAT1246,3678,3678
SPAT1217,3640,3640
SPAT1227,3637,3637
SPAT1299,3532,3532
SPAT1008,3340,3340
SPAT1210,3303,3303
SPAT1380,3177,3177
SPAT1226,3074,3074
SPAT1190,3067,3067
SPAT1195,2945,2945
SPAT1141,2842,2842
SPAT1284,2715,2715
SPAT1138,2690,2690
SPAT1364,2669,2669
SPAT1224,2542,2542
