"","CODE1","CODE3","n_codes","n_patients"
"1","H03AA01","193102",717787,22207
"2","N02BE01","383992",412375,103769
"3","M01AE01","552208",375818,89398
"4","B01AA03","486605",294671,17973
"5","G03CA03","027201",290024,31958
"6","H03AA01","193086",264360,17169
"7","R03AC02","124347",234670,41726
"8","M01AE01","552190",229939,106553
"9","A10BA02","451971",218134,12820
"10","C10AA01","010966",212077,20118
"11","N05AH02","030627",209456,2622
"12","C07AB07","002087",199647,14682
"13","R01AD09","474551",199204,63144
"14","N05CF01","087320",194956,14068
"15","C07AB07","474403",176205,13870
"16","A12AX","019874",175994,21416
"17","C03CA01","476861",164402,14518
"18","M03BX02","000976",160787,72965
"19","C07AB07","040148",153152,14703
"20","C03CA01","537944",152167,15888
"21","A10BA02","185983",150636,11603
"22","C09AA05","403048",148953,13467
"23","C10AA01","059969",145197,17360
"24","N05CF01","087312",142680,23726
"25","C08CA01","031796",140668,18066
"26","A02BC02","490086",140421,25863
"27","H02AB06","557827",139826,19255
"28","B01AA03","486571",136131,8476
"29","C10AA01","010999",134000,13050
"30","A07EC01","402792",125835,7128
"31","R03BA05","082685",125197,14346
"32","N02BE01","169275",122234,41652
"33","N05CD07","532960",120522,9578
"34","M01AE01","434993",118807,31433
"35","M01AB05","489609",118205,56866
"36","C07AB07","016919",112806,11010
"37","J01FA10","389460",111639,58570
"38","N02AA59","425975",107705,20074
"39","C08CA13","585786",106951,8130
"40","R01AD12","088261",106202,33291
"41","C08CA01","005876",106100,9637
"42","N05BA04","547976",105644,8732
"43","A02BC02","545319",103462,17359
"44","A10AE04","078623",102262,7206
"45","C07AB07","005502",100572,12771
"46","C09AA05","005145",97893,6186
"47","C10AA05","443721",97658,10100
"48","C10AA01","059987",96826,11197
"49","G03CA03","444851",95796,6812
"50","H02AB06","067710",95032,38379
"51","J01DB01","006222",95017,61646
"52","R03AK07","000410",94506,12365
"53","N05CF01","175935",94379,15327
"54","J01CE02","007181",93965,59221
"55","A12AX","416719",92849,12566
"56","C10AA01","010940",90800,9218
"57","N05AH04","075533",90248,13323
"58","G03CA03","444844",87771,7177
"59","N03AX16","016294",86865,14098
"60","J01DB01","007061",85889,57100
"61","J01DB01","007072",84293,50679
"62","R03AC02","479543",83992,16659
"63","C09CA01","047534",83858,10597
"64","J01CA08","458349",83833,36795
"65","N05BA06","123273",83756,4389
"66","A10AB05","006102",82132,5619
"67","A10BA02","175703",81857,4444
"68","C07AB07","079745",81840,10631
"69","S01XA20","023635",81628,24036
"70","C03EA01","176909",81394,7309
"71","J02AC01","446930",80794,32453
"72","C07AB02","422246",80001,4645
"73","A10BH01","076033",79292,6507
"74","N02AA59","425967",78960,34431
"75","C07AA05","460402",78747,9686
