ATCKOODI;MYYNTILUPANRO;PAATOSPVM;PAATTYMISPVM;LAAKENIMI;VAHVUUS;LAAKEMUOTONIMI;PROSESSINIMI;TILANIMI;HALTIJANNIMI;PAKKAUSKOKO;NIMI;KAUPAN;VNRNRO;KAUPPAANTULOPVM;KAUPASTAPOISPVM
J05AR02;33010;13.10.2016;13.10.2021;ABACAVIR/LAMIVUDIN MYLAN;600 mg / 300 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;MYLAN AB;30;Läpipainopakkaus;1;468375;15.01.2018;
J05AR02;37463;25.10.2019;25.10.2024;ABACAVIR/LAMIVUDINE SANDOZ;600 mg / 300 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;ORIFARM;30;Läpipainopakkaus;0;516851;01.12.2019;
J05AR02;33761;08.07.2016;08.07.2021;ABACAVIR/LAMIVUDINE STADA;600 mg / 300 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;STADA ARZNEIMITTEL A;30;Läpipainopakkaus;1;444643;01.03.2019;
N02AC04;1886;07.07.1965;05.02.2010;ABALGIN;65 mg;kapseli, kova;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ALTERNOVA A/S;50;Tablettipurkki;0;199984;;31.05.2002
N02AC04;1886;07.07.1965;05.02.2010;ABALGIN;65 mg;kapseli, kova;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ALTERNOVA A/S;10;Läpipainopakkaus;0;496158;;15.10.1998
N02AC04;1886;07.07.1965;05.02.2010;ABALGIN;65 mg;kapseli, kova;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ALTERNOVA A/S;100;Tablettipurkki;0;199976;;
N02AC04;5297;03.04.1968;05.02.2010;ABALGIN RETARD;150 mg;depotkapseli, kova;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ALTERNOVA A/S;100;Tablettipurkki;0;199935;;
N02AC04;5297;03.04.1968;05.02.2010;ABALGIN RETARD;150 mg;depotkapseli, kova;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ALTERNOVA A/S;30;Tablettipurkki;0;119917;;
A10AE04;31671;09.09.2014;;ABASAGLAR;100 U/ml;injektioneste, liuos, esitäytetty kynä;Keskitetty;Myyntilupa myönnetty;ELI LILLY NEDERLAND;2 x (5 x 3 ml);Esitäytetty kynä;1;451991;15.10.2017;
A10AE04;32908;09.09.2014;;ABASAGLAR;100 U/ml;injektioneste, liuos, sylinteriampulli;Keskitetty;Myyntilupa myönnetty;ELI LILLY NEDERLAND;5 x 3 ml;Sylinteriampulli;1;138421;01.11.2015;
A10AE04;31671;09.09.2014;;ABASAGLAR;100 U/ml;injektioneste, liuos, esitäytetty kynä;Keskitetty;Myyntilupa myönnetty;ELI LILLY NEDERLAND;5 x 3 ml;Esitäytetty kynä;1;448060;15.10.2016;
C01CA04;10648;12.02.1992;31.10.2009;ABBODOP;2 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;500 ml;;0;176891;;18.11.1996
C01CA04;10647;12.02.1992;31.10.2009;ABBODOP;1 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;250 ml;;0;472902;17.03.1993;09.08.1995
C01CA04;10648;12.02.1992;31.10.2009;ABBODOP;2 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;10 x 250 ml;Infuusiopullo;0;009082;06.08.2002;
C01CA04;10647;12.02.1992;31.10.2009;ABBODOP;1 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;12 x 500 ml;;0;133256;;18.11.1996
C01CA04;10648;12.02.1992;31.10.2009;ABBODOP;2 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;12 x 250 ml;;0;176990;27.04.1992;06.05.2003
C01CA04;10647;12.02.1992;31.10.2009;ABBODOP;1 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;10 x 250 ml;Infuusiopullo;0;009143;10.10.2002;
C01CA04;10647;12.02.1992;31.10.2009;ABBODOP;1 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;500 ml;;0;176776;;18.11.1996
