code,name_fi,name_en,name_en_source,valid_start_date,units,abbreviation
0012,Li-Tuberkuloottisen meningii-,NA,Google,1990-07-04,NULL,Li-TBStear
1,Hematologinen sarjatutkimus,NA,Google,1982-08-01,NULL,B -Hema
1,Hematologinen sarjatutkimus,NA,Google,1999-03-24,NULL,B -Hema
10,Pikon glukoosipaketti,NA,Google,1991-09-20,NULL,B -RAPGlu
100,Verikaasuanalyysi + happisatu,NA,Google,1993-10-26,NULL,vB-VKA-O2S
10004,Interleukiini 8,NA,Google,2016-05-17,ng/l,S -IL8
1001,"ACTH-koe, lyhyt, aikuiset",NA,Google,1981-08-01,NULL,Pt-ACTH-R1
10015,Alumiini,NA,Google,2016-05-30,umol/l,P -Al
1007,"-Actinomyces,viljely",NA,Google,1994-01-01,NULL,-ActiVi
1007,"Actinomyces, viljely",NA,Google,2003-11-25,NULL,-ActiVi
10072,Kreatiniinikinaasi MM,NA,Google,2016-05-30,U/l,S -CK-MM
10073,Kreatiniinikinaasi MB,NA,Google,2016-05-30,U/l,S -CK-MB
10074,Kreatiniinikinaasi BB,NA,Google,2016-05-30,U/l,S -CK-BB
10075,Kreatiniinikinaasi-macro,NA,Google,2016-05-30,U/l,S-Macro-CK
101,Karboksihemoglobiini veri,NA,Google,1993-10-26,NULL,B -Hb-CO
10101,Polin labran ajanvaraus,NA,Google,1994-08-29,NULL,PKLLAB
1011,"F -Adenovirus, antigeeni",NA,Google,1987-01-26,arvio,F -Ade-Ag
1011,"Adenovirus, antigeeni, uloste",NA,Google,1994-01-01,NULL,F -AdenAg
1011,"Adenovirus, antigeeni, uloste",NA,Google,2016-01-15,NULL,F -AdenAg
1011,"Adenovirus, antigeeni, uloste",NA,Google,2018-11-01,NULL,F -AdenAg
10151,HyytymistekijÃ¤ V- ja protrombi,NA,Google,2020-02-18,Lausunto,B -FVFII-D
1016,Adrenaliini,NA,Google,1981-08-01,umol,dU-ADR
1016,Adrenaliini,NA,Google,1994-06-02,umol,dU-ADR
1016,Adrenaliini,NA,Google,2000-01-01,umol,dU-ADR
1016,"Adrenaliini, vuorokausivirtsa",NA,Google,2004-01-01,umol,dU-Adr
