CodeId;Abbreviation;ShortName;LongName;BeginningDate;ExpiringDate;LastModifiedDate;LastModifiedBy;Status;Description;OID;A:Erikoisala;A:Korvaava koodi;A:Långt_namn;A:Yksikkö
1001;Pt-ACTH-R1;Pt-Adrenokortikotropiini-koe, lyhyt;Pt-Adrenokortikotropiini-koe, lyhyt;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-Adrenokortikotropin-test, kort;Lomake
1002;Pt-ACTH-R2;Pt-Adrenokortikotropiini-koe, pitkä;Pt-Adrenokortikotropiini-koe, pitkä;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-Adrenokortikotropin-test, lång;Lomake
1003;Pt-ACTH-R3;Pt-Adrenokortikotropiini-koe, 21-hydroksylaasi ent;Pt-Adrenokortikotropiini-koe, 21-hydroksylaasi entsyymipuute;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-Adrenokortikotropin-test, 21-hydroxylasbrist;Lomake
1004;S -CRH;S -Adrenokortikotropiini-vapauttajahormoni;S -Adrenokortikotropiini-vapauttajahormoni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Adrenokortikotropin-frigörande hormon;Lomake
1005;Ts-CRH;Ts-Adrenokortikotropiini-vapauttajahormoni;Ts-Adrenokortikotropiini-vapauttajahormoni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Ts -Adrenokortikotropin-frigörande hormon;Lomake
1006;-ActiNa;-Actinomyces, natiivivalmiste;-Actinomyces, natiivivalmiste;01.01.2004;31.12.2009;15.07.2010;Lehtonen, Jari;1;;;M;;-Actinomyces, nativpreparat;Lomake
1007;-ActiVi;-Actinomyces, viljely;-Actinomyces, viljely;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;-Actinomyces, odling;Lomake
1008;-ActiVr;-Actinomyces, värjäys;-Actinomyces, värjäys;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;-Actinomyces, färgning;Lomake
1009;E -ATP;E -Adenosiinitrifosfaatti;E -Adenosiinitrifosfaatti;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;E -Adenosintrifosfat;mmol/l
1010;E -ATPase;E -Adenosiinitrifosfataasi;E -Adenosiinitrifosfataasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;E -Adenosintrifosfatas;mmol/hl
1011;F -AdenAg;F -Adenovirus, antigeeni;F -Adenovirus, antigeeni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;F -Adenovirus, antigen;Lomake
1013;E -AK;E -Adenylaattikinaasi;E -Adenylaattikinaasi;01.01.2004;31.12.2030;26.03.2015;Lehtonen, Santeri;1;;;K;;E -Adenylatkinas;U/g_Hb
1014;Li-AK;Li-Adenylaattikinaasi;Li-Adenylaattikinaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Li-Adenylatkinas;U/l
1015;S -AK;S -Adenylaattikinaasi;S -Adenylaattikinaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Adenylatkinas;U/l
1016;dU-Adr;dU-Adrenaliini;dU-Adrenaliini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;dU-Adrenalin;umol
1017;P -Adr;P -Adrenaliini;P -Adrenaliini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;P -Adrenalin;nmol/l
1019;dU-AdrNor;dU-Adrenaliini + noradrenaliini;dU-Adrenaliini + noradrenaliini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;dU-Adrenalin + noradrenalin;umol
1020;P -ACTH;P -Adrenokortikotropiini ;P -Adrenokortikotropiini ;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;P -Adrenokortikotropin;pmol/l
