TUTKIMUS,ALKU_PVM,LOPPU_PVM,TUTKIMUS_LYHENNE,TUTKIMUS_EALA,TUTKIMUS_NIMI,TUTKIMUS_TARKENNE,TUTKIMUS_TYYPPI,VASTAUSYKSIKKO,HUOMAUTUSKOODISTO,TUTKIMUS_LYHENNE_I
0012,04.07.1990,01.11.1994,Li-TBStear,MIK,Li-Tuberkuloottisen meningii-,tin diagnostiikka,Y,NULL,NULL,LI-TBSTEAR
1,01.08.1982,23.03.1999,B -Hema,KEM,Hematologinen sarjatutkimus,NULL,P,NULL,KEMIA,B-HEMA
1,24.03.1999,30.11.2001,B -Hema,KEM,Hematologinen sarjatutkimus,NULL,P,NULL,KEMIA,B-HEMA
10,20.09.1991,13.09.1999,B -RAPGlu,KEM,Pikon glukoosipaketti,NULL,P,NULL,KEMIA,B-RAPGLU
100,26.10.1993,31.12.2300,vB-VKA-O2S,KEM,Verikaasuanalyysi + happisatu,raatio laskimoveri,P,NULL,KEMIA,VB-VKA-O2S
10004,17.05.2016,31.12.2300,S -IL8,KEM,Interleukiini 8,NULL,Y,ng/l,KEMIA,S-IL8
1001,01.08.1981,31.12.2300,Pt-ACTH-R1,KEM,"ACTH-koe, lyhyt, aikuiset",NULL,T,NULL,KEMIA,PT-ACTH-R1
10015,30.05.2016,31.12.2300,P -Al,KEM,Alumiini,NULL,Y,umol/l,KEMIA,P-AL
1007,01.01.1994,24.11.2003,-ActiVi,MIK,"-Actinomyces,viljely",NULL,Y,NULL,MIKVAS,-ACTIVI
1007,25.11.2003,31.12.2300,-ActiVi,MIK,"Actinomyces, viljely",NULL,Y,NULL,MIKVAS,-ACTIVI
10072,30.05.2016,31.12.2300,S -CK-MM,KEM,Kreatiniinikinaasi MM,NULL,Y,U/l,KEMIA,S-CK-MM
10073,30.05.2016,31.12.2300,S -CK-MB,KEM,Kreatiniinikinaasi MB,NULL,Y,U/l,KEMIA,S-CK-MB
10074,30.05.2016,31.12.2300,S -CK-BB,KEM,Kreatiniinikinaasi BB,NULL,Y,U/l,KEMIA,S-CK-BB
10075,30.05.2016,31.12.2300,S-Macro-CK,KEM,Kreatiniinikinaasi-macro,NULL,Y,U/l,KEMIA,S-MACRO-CK
101,26.10.1993,31.12.2300,B -Hb-CO,KEM,Karboksihemoglobiini veri,NULL,P,NULL,KEMIA,B-HB-CO
10101,29.08.1994,13.11.2001,PKLLAB,KEM,Polin labran ajanvaraus,NULL,T,NULL,NULL,PKLLAB
1011,26.01.1987,31.12.1993,F -Ade-Ag,MIK,"F -Adenovirus, antigeeni",NULL,Y,arvio,VIROL,F-ADE-AG
1011,01.01.1994,14.01.2016,F -AdenAg,MIK,"Adenovirus, antigeeni, uloste",NULL,Y,NULL,MIKVAS,F-ADENAG
1011,15.01.2016,31.10.2018,F -AdenAg,MIK,"Adenovirus, antigeeni, uloste",NULL,Y,NULL,MIKVAS,F-ADENAG
1011,01.11.2018,31.12.2300,F -AdenAg,MIK,"Adenovirus, antigeeni, uloste",NULL,Y,NULL,MIKVAS,F-ADENAG
10151,18.02.2020,31.12.2300,B -FVFII-D,MIK,Hyytymistekijä V- ja protrombi,"inigeeni, DNA-tutkimus, veri",S,Lausunto,KEMIA,B-FVFII-D
1016,01.08.1981,01.06.1994,dU-ADR,KEM,Adrenaliini,NULL,Y,umol,KEMIA,DU-ADR
1016,02.06.1994,31.12.1999,dU-ADR,KEM,Adrenaliini,NULL,Y,umol,KEMIA,DU-ADR
1016,01.01.2000,31.12.2003,dU-ADR,KEM,Adrenaliini,NULL,Y,umol,KEMIA,DU-ADR
1016,01.01.2004,18.04.2017,dU-Adr,KEM,"Adrenaliini, vuorokausivirtsa",NULL,Y,umol,KEMIA,DU-ADR
1016,19.04.2017,31.12.2300,dU-Adr,KEM,"Adrenaliini, vuorokausivirtsa",NULL,Y,umol,KEMIA,DU-ADR
1017,22.05.1986,01.06.1994,P -ADR,KEM,Adrenaliini,NULL,Y,nmol/l,KEMIA,P-ADR
1017,02.06.1994,31.12.1999,P -ADR,KEM,Adrenaliini,NULL,Y,nmol/l,KEMIA,P-ADR
1017,01.01.2000,14.06.2004,P -Adr,KEM,Adrenaliini,NULL,Y,nmol/l,KEMIA,P-ADR
1017,31.12.2010,12.07.2015,P -Adr,KEM,Adrenaliini,NULL,Y,nmol/l,KEMIA,P-ADR
1017,13.07.2015,31.12.2300,P -Adr,KEM,Adrenaliini,NULL,Y,nmol/l,KEMIA,P-ADR
1018,15.05.1990,01.11.1994,F -EHEC,MIK,F -Enterohemorrhaginen E.coli,NULL,Y,NULL,BAKT,F-EHEC
102,01.04.1982,27.01.1995,U -Propx-O,KEM,Dekstropropoksifeeni (kval),NULL,Y,Lausunto,KEMIA,U-PROPX-O
1020,01.08.1981,31.05.1994,P -ACTH,KEM,Adrenokortikotropiini,NULL,Y,ng/l,KEMIA,P-ACTH
1020,01.06.1994,21.08.2005,P -ACTH,KEM,Adrenokortikotropiini,NULL,Y,pmol/l,KEMIA,P-ACTH
1020,22.08.2005,09.12.2009,P -ACTH,KEM,Adrenokortikotropiini,NULL,Y,ng/l,KEMIA,P-ACTH
1020,10.12.2009,30.05.2016,P -ACTH,KEM,Adrenokortikotropiini,NULL,Y,ng/l,KEMIA,P-ACTH
1020,31.05.2016,05.06.2019,P -ACTH,KEM,Adrenokortikotropiini,NULL,Y,ng/l,KEMIA,P-ACTH
1020,06.06.2019,31.12.2300,P -ACTH,KEM,Adrenokortikotropiini,NULL,Y,ng/l,KEMIA,P-ACTH
