code,freq_tays,freq_total
M00100,35074,35074
M09450,34399,34399
M01000,14186,14186
M81403,13494,13494
M80903,12748,12748
T84000,12028,12028
T08000,9953,9953
M09430,9702,9702
T7X100,9607,9607
T67000,9472,9472
M09350,9199,9199
M00120,8846,8846
T8X330,8551,8551
T2Y410,8261,8261
T77100,8158,8158
T06000,7780,7780
T08710,7268,7268
M40000,7119,7119
T68000,6948,6948
T04030,6678,6678
T02120,6268,6268
T04020,6168,6168
TX2000,5841,5841
T6X940,5792,5792
M80703,5757,5757
M49060,5717,5717
T56000,5674,5674
M43000,5486,5486
M82110,5419,5419
M81406,5122,5122
T64300,5059,5059
T63500,4769,4769
T63600,4616,4616
T83000,4540,4540
T02140,4471,4471
T01000,4388,4388
M88900,4280,4280
T02450,4240,4240
M80106,4128,4128
M80013,4110,4110
M09000,4085,4085
NA,3946,3946
T74000,3863,3863
T63000,3678,3678
T65200,3670,3670
T85000,3584,3584
T02121,3474,3474
T2Y610,3421,3421
T67700,3358,3358
M80812,3292,3292
M72850,3186,3186
T87010,3170,3170
M85003,3084,3084
T08200,3080,3080
M72040,3070,3070
T87020,2902,2902
M69900,2893,2893
T62000,2849,2849
M72750,2815,2815
M69760,2802,2802
T82000,2771,2771
T08362,2769,2769
M69903,2708,2708
T02104,2702,2702
T59000,2662,2662
T1X000,2549,2549
T50110,2536,2536
M76800,2506,2506
T67100,2410,2410
M87600,2372,2372
T02200,2305,2305
T57000,2280,2280
T66000,2269,2269
T26000,2244,2244
T83300,2190,2190
M69768,2135,2135
M87500,2129,2129
M43001,2109,2109
T08610,2007,2007
T71000,1967,1967
T02830,1946,1946
T63850,1938,1938
M73220,1935,1935
M38000,1914,1914
T02300,1914,1914
TY4400,1904,1904
T28000,1881,1881
M94403,1870,1870
T08640,1830,1830
M80103,1786,1786
M82630,1764,1764
M83803,1757,1757
M79310,1738,1738
T53000,1718,1718
T02424,1716,1716
M09400,1715,1715
M33400,1703,1703
M72000,1701,1701
T67200,1690,1690
T2Y590,1659,1659
TX1010,1613,1613
T02102,1590,1590
T64000,1563,1563
T50500,1546,1546
M80003,1517,1517
M88500,1499,1499
M43002,1495,1495
M96803,1484,1484
M49000,1442,1442
TX1110,1422,1422
T80100,1409,1409
TY0600,1409,1409
M69766,1408,1408
T02410,1377,1377
T96100,1377,1377
T67400,1350,1350
T96000,1349,1349
T02810,1348,1348
T87000,1332,1332
T02430,1315,1315
T03000,1289,1289
M69700,1286,1286
T68950,1284,1284
M84613,1265,1265
T08810,1254,1254
T81000,1249,1249
M44000,1204,1204
T28800,1175,1175
T02100,1166,1166
M85002,1143,1143
M76510,1142,1142
T96200,1139,1139
M45020,1124,1124
T83100,1112,1112
T02480,1102,1102
T02400,1096,1096
M84413,1074,1074
M80706,1033,1033
M79320,1024,1024
M41000,1019,1019
T02630,1011,1011
T02610,995,995
T5Y300,976,976
T86110,964,964
M84416,963,963
M83103,948,948
M09500,933,933
M54000,930,930
T71010,895,895
M87206,888,888
M52110,885,885
T02600,878,878
M76500,873,873
M81301,870,870
M58000,866,866
T51030,865,865
T86120,864,864
T71020,849,849
M95300,846,846
T77500,834,834
T64301,800,800
M81203,798,798
M73320,794,794
M36100,792,792
T00100,784,784
M80001,780,780
T07000,774,774
M69717,772,772
M37000,771,771
T21010,768,768
M75300,765,765
M79360,750,750
T67600,745,745
T32000,736,736
T02111,735,735
M91200,707,707
M69730,676,676
T08480,676,676
T86800,653,653
T87800,651,651
T55120,650,650
M87433,647,647
M43005,642,642
T55100,641,641
T55110,638,638
M71000,630,630
T1X500,630,630
T28100,630,630
T24100,628,628
T02800,625,625
M87601,624,624
T13000,623,623
M84803,621,621
T86100,620,620
T55300,607,607
M85203,601,601
T29000,600,600
T64200,600,600
M79370,599,599
M81400,599,599
M48000,598,598
T08360,598,598
M33410,586,586
M96903,576,576
T86920,570,570
TY4500,567,567
T65520,561,561
T43000,560,560
M87400,559,559
M71600,556,556
M69870,555,555
M88320,547,547
M95601,545,545
M95903,544,544
T62350,544,544
M80503,539,539
M87422,539,539
T02451,539,539
M54200,530,530
M93803,524,524
M36500,516,516
M00050,515,515
T11710,511,511
M80913,506,506
T28200,501,501
M98233,497,497
M89400,496,496
M74320,486,486
M84410,485,485
T10510,485,485
M81480,482,482
M87203,482,482
TY4590,481,481
T28500,480,480
M73330,472,472
T73020,469,469
M81404,466,466
M57250,464,464
T51200,461,461
T73010,461,461
T02850,460,460
M76700,459,459
T64303,459,459
TY0150,459,459
T58500,456,456
T02650,451,451
TY2150,451,451
TY4600,445,445
M09470,442,442
M50080,440,440
T52200,440,440
M84700,438,438
T08220,438,438
M58010,436,436
M85610,434,434
T28400,433,433
T64390,430,430
M47170,427,427
T28600,422,422
M32710,421,421
T08400,411,411
TY4100,409,409
M71602,407,407
M80520,406,406
T75000,406,406
T82100,405,405
T02452,404,404
T04010,404,404
M72600,402,402
T60000,399,399
T63300,397,397
M69901,395,395
T51000,393,393
M82100,391,391
M85006,385,385
TY2300,383,383
M69770,380,380
T02130,378,378
T0X500,378,378
T88100,378,378
TXX810,377,377
T2Y030,374,374
T02132,370,370
M88003,367,367
T28700,367,367
M84411,366,366
T02471,361,361
M80413,358,358
TY6000,358,358
M76600,353,353
M80006,352,352
T97000,348,348
T54910,347,347
T61110,346,346
T24420,344,344
T93020,341,341
M80772,337,337
M88100,333,333
M69820,331,331
M74008,330,330
T91000,330,330
M75630,327,327
T61120,327,327
M80506,319,319
T78010,319,319
T24410,316,316
M36300,313,313
T02401,313,313
M87401,310,310
M90100,310,310
T71800,309,309
M87432,304,304
M69720,302,302
T5Y410,299,299
T67965,296,296
M74000,295,295
T10180,295,295
M32100,294,294
M41740,293,293
M52000,291,291
M58240,291,291
T52000,289,289
TX6000,284,284
M30010,282,282
T67995,281,281
M69703,277,277
M15000,275,275
M44140,274,274
T02511,274,274
T51300,274,274
M81409,273,273
TY9660,273,273
M54110,272,272
M69992,272,272
M81303,271,271
M80702,269,269
T42000,269,269
M69710,268,268
TY8100,268,268
M95310,266,266
T21000,265,265
T65300,263,263
M82461,262,262
T67920,262,262
M84400,260,260
M81703,259,259
T33400,257,257
T02840,255,255
T03480,255,255
M47400,254,254
M90140,254,254
T02670,254,254
M99691,252,252
T10519,251,251
M81202,250,250
M95400,250,250
M95913,250,250
M83126,247,247
M40005,245,245
M45810,244,244
M48899,244,244
M69902,244,244
T08510,241,241
T13001,241,241
TXX860,241,241
M76810,239,239
T08330,236,236
T93010,234,234
T02420,233,233
T33010,233,233
M88903,232,232
T78020,232,232
M84806,231,231
T02114,230,230
M47830,229,229
M43009,226,226
M54700,226,226
T22100,225,225
T51100,225,225
TY8800,225,225
M79590,224,224
M81453,224,224
M84701,223,223
M85030,223,223
M95933,223,223
M50000,220,220
T02820,220,220
M55400,219,219
M76820,218,218
M94013,218,218
M58005,217,217
M82466,216,216
